doorcardID,username,doorcardname,doorstartdate,doorenddate,doorterm,college,_reject_reason
20446,gangels,prof gangel,08/15/18 00:00:00,12/15/18 00:00:00,201808,Canada,User not found for username: gangels
22237,simmers,KRS Spring 20,01/13/20 00:00:00,05/13/20 00:00:00,202003,Skyline,User not found for username: simmers
23561,claired,FALL 2021-C,08/18/21 00:00:00,12/13/21 00:00:00,202108,Canada,User not found for username: claired
26178,Zoughbiea,PhilosophySummer24,06/10/24 00:00:00,07/20/24 00:00:00,202405,Skyline,User not found for username: Zoughbiea
20912,simmers,KRS SPRING 2019,01/14/19 00:00:00,05/15/19 00:00:00,201903,Skyline,User not found for username: simmers
20998,ropec,Spring 2019,01/14/19 00:00:00,05/17/19 00:00:00,201903,CSM,User not found for username: ropec
21002,anttilasuarezc,Door Card Name,01/14/18 00:00:00,05/25/18 00:00:00,201903,Skyline,User not found for username: anttilasuarezc
21003,anttilasuarezc,Spring 2019,01/14/19 00:00:00,05/25/19 00:00:00,201903,Skyline,User not found for username: anttilasuarezc
21316,simmers,KRS SUMMER19,06/10/19 00:00:00,07/20/19 00:00:00,201905,Skyline,User not found for username: simmers
21317,simmers,Door Card Name,06/10/19 00:00:00,07/20/19 00:00:00,201903,Canada,User not found for username: simmers
21483,LAPUZ,LapuzF19,08/12/19 00:00:00,12/31/19 00:00:00,201908,Canada,User not found for username: LAPUZ
21582,simmers,KRS FALL 19,08/14/19 00:00:00,12/05/19 00:00:00,201908,Skyline,User not found for username: simmers
21668,ropec,Fall 2019,08/14/19 00:00:00,05/13/19 00:00:00,201908,CSM,User not found for username: ropec
21672,hoffmanns,Dr Shulamit Hoffmann FA19,08/14/19 00:00:00,12/16/19 00:00:00,201908,CSM,User not found for username: hoffmanns
21807,anttilasuarezc,Fall 2019,09/01/19 00:00:00,12/15/19 00:00:00,201908,Skyline,User not found for username: anttilasuarezc
21852,Brancoc,Fall 2019,08/14/19 00:00:00,12/20/19 00:00:00,201908,Skyline,User not found for username: Brancoc
21898,Polomskie,Fall 19,08/14/19 00:00:00,12/09/19 00:00:00,201908,CSM,User not found for username: Polomskie
22006,Merrill,Spring 2020,01/13/20 00:00:00,05/22/20 00:00:00,202003,Skyline,User not found for username: Merrill
22057,Kirchoffsteink,Dr. K S20,01/13/20 00:00:00,05/22/20 00:00:00,202003,Canada,User not found for username: Kirchoffsteink
22147,anttilasuarezc,Door Card Name,01/14/18 00:00:00,05/25/18 00:00:00,202003,Skyline,User not found for username: anttilasuarezc
22148,anttilasuarezc,Carina Anttila Sp 20,01/00/00 00:00:00,05/25/20 00:00:00,202003,Skyline,User not found for username: anttilasuarezc
22193,ropec,Spring 2020,01/13/20 00:00:00,05/15/20 00:00:00,202003,CSM,User not found for username: ropec
22375,gangels,gangel,01/13/20 00:00:00,05/30/20 00:00:00,202003,Canada,User not found for username: gangels
22421,Franciosam,"Dr.Monica Franciosa,DS.C",01/13/20 00:00:00,05/22/20 00:00:00,202003,Skyline,User not found for username: Franciosam
22428,WatsonG,Spring20200113,01/13/20 00:00:00,03/21/20 00:00:00,202003,CSM,User not found for username: WatsonG
22429,WatsonG,Spring20200322,03/22/20 00:00:00,05/15/20 00:00:00,202003,CSM,User not found for username: WatsonG
22440,KarahroudyA,Online Office Hours,02/01/20 00:00:00,05/30/20 00:00:00,202003,Skyline,User not found for username: KarahroudyA
22563,LAPUZ,LapuzSu20,06/15/20 00:00:00,08/01/20 00:00:00,202005,Canada,User not found for username: LAPUZ
22713,anttilasuarezc,Fall 2020 Anttila-Suarez,08/17/20 00:00:00,12/20/20 00:00:00,202008,Skyline,User not found for username: anttilasuarezc
22823,Broxholm,Fall 2020,08/19/20 00:00:00,12/17/20 00:00:00,202008,Skyline,User not found for username: Broxholm
24394,WatsonG,Fall20220814,08/14/22 00:00:00,12/10/22 00:00:00,202208,CSM,User not found for username: WatsonG
23293,anttilasuarezc,Anttila Sp 2021,01/14/18 00:00:00,05/25/18 00:00:00,202103,Skyline,User not found for username: anttilasuarezc
23435,janatpour,Physics 250 Y1H &Y2H,06/14/21 00:00:00,08/05/21 00:00:00,202105,CSM,User not found for username: janatpour
23562,claired,FALL 21 S,08/18/21 00:00:00,12/13/21 00:00:00,202103,Canada,User not found for username: claired
24316,Erwerta,Summer 2022,01/13/22 00:00:00,07/30/22 00:00:00,202205,Skyline,User not found for username: Erwerta
23686,Mengq,fall2021,09/20/21 00:00:00,12/06/21 00:00:00,202108,Skyline,User not found for username: Mengq
23864,MAURICIOE,Sping 2022,01/18/22 00:00:00,05/26/22 00:00:00,202203,Skyline,User not found for username: MAURICIOE
26728,simmers,SIMMERS,01/13/25 00:00:00,05/14/25 00:00:00,202503,Skyline,User not found for username: simmers
23902,simmers,KRS Spring 2022,01/18/22 00:00:00,05/19/22 00:00:00,202203,Skyline,User not found for username: simmers
25735,simmers,simmers,01/16/24 00:00:00,05/16/24 00:00:00,202403,Skyline,User not found for username: simmers
24013,LAPUZ,LapuzSp22,01/17/22 00:00:00,05/30/22 00:00:00,202203,Canada,User not found for username: LAPUZ
24196,Merrill,Spring 2022,01/17/22 00:00:00,05/27/22 00:00:00,202203,Skyline,User not found for username: Merrill
24235,anttilasuarezc,Door Card Name,01/14/22 00:00:00,05/22/22 00:00:00,202203,Skyline,User not found for username: anttilasuarezc
24236,anttilasuarezc,Anttila Spring 22,01/14/22 00:00:00,05/22/22 00:00:00,202203,Skyline,User not found for username: anttilasuarezc
24408,anttilasuarezc,Fall 22 Anttila,08/15/22 00:00:00,10/31/22 00:00:00,202203,Skyline,User not found for username: anttilasuarezc
24413,simmers,Fitness 334 YOGA,08/08/22 00:00:00,12/08/22 00:00:00,202208,Skyline,User not found for username: simmers
24414,simmers,KRS FALL 2022,08/08/22 00:00:00,12/08/22 00:00:00,202208,Skyline,User not found for username: simmers
24509,Zoughbiea,Fall2022,08/17/22 00:00:00,12/17/22 00:00:00,202208,Skyline,User not found for username: Zoughbiea
24738,LAPUZ,LapuzF22,08/17/22 00:00:00,05/30/22 00:00:00,202208,Canada,User not found for username: LAPUZ
24800,simmers,simSPRING23,01/17/23 00:00:00,05/18/23 00:00:00,202303,Skyline,User not found for username: simmers
25112,treanore,Eric Treanor Spring 23,01/21/23 00:00:00,05/26/23 00:00:00,202303,CSM,User not found for username: treanore
25128,WatsonG,20230117_Spring,01/17/23 00:00:00,05/18/23 00:00:00,202303,CSM,User not found for username: WatsonG
25173,WatsonG,20230530_Summer,05/23/23 00:00:00,08/15/23 00:00:00,202305,CSM,User not found for username: WatsonG
25298,simmers,Office Hours,08/16/23 00:00:00,12/07/23 00:00:00,202308,Skyline,User not found for username: simmers
25299,simmers,KRS FALL 2023,08/16/23 00:00:00,12/07/23 00:00:00,202308,Skyline,User not found for username: simmers
25356,brower,Fall 2023,08/16/23 00:00:00,12/21/23 00:00:00,202303,Canada,User not found for username: brower
25413,claired,Door Card Name,08/16/23 00:00:00,12/15/23 00:00:00,202308,Canada,User not found for username: claired
25414,claired,ACTG 121 OFFICE HR F 23,08/16/23 00:00:00,12/15/23 00:00:00,202308,Canada,User not found for username: claired
25484,LAPUZ,LapuzF23,08/15/23 00:00:00,12/25/23 00:00:00,202308,Canada,User not found for username: LAPUZ
25562,ropec,Fall 2023,08/16/23 00:00:00,12/13/23 00:00:00,202308,CSM,User not found for username: ropec
25736,simmers,KRSIMMERS 24,01/16/24 00:00:00,05/16/24 00:00:00,202403,Skyline,User not found for username: simmers
25770,ropec,Spring 2024,01/17/24 00:00:00,05/15/24 00:00:00,202403,CSM,User not found for username: ropec
25811,LAPUZ,LapuzSp24,01/01/24 00:00:00,06/01/24 00:00:00,202403,Canada,User not found for username: LAPUZ
25859,Mccallt,Spring 2024,01/16/24 00:00:00,05/30/24 00:00:00,202403,Skyline,User not found for username: Mccallt
25872,claired,Door Card Name,01/29/24 00:00:00,05/24/24 00:00:00,202403,Canada,User not found for username: claired
25873,claired,Office hour Spr 2024,01/29/24 00:00:00,05/24/24 00:00:00,202403,Canada,User not found for username: claired
25885,anttilasuarezc,Anttila Spring 2024,01/16/24 00:00:00,05/20/24 00:00:00,202403,Skyline,User not found for username: anttilasuarezc
25962,DEALF,Surgical Careers Center 24,01/16/24 00:00:00,05/17/24 00:00:00,202403,Skyline,User not found for username: DEALF
26181,Zoughbiea,PHILSUM2024,06/10/24 00:00:00,07/20/24 00:00:00,202405,Skyline,User not found for username: Zoughbiea
26055,treanore,Treanor,01/21/24 00:00:00,05/30/24 00:00:00,202403,CSM,User not found for username: treanore
26102,karves,Spring 2024,01/15/24 00:00:00,05/25/24 00:00:00,202403,Skyline,User not found for username: karves
26103,speightl,ECON100 Spring LS,03/18/24 00:00:00,05/24/24 00:00:00,202403,Skyline,User not found for username: speightl
26104,speightl,ECON102 Spring 2024 LS,03/18/24 00:00:00,05/24/24 00:00:00,202403,Skyline,User not found for username: speightl
26209,brower,online 210 and 313,06/10/24 00:00:00,07/19/24 00:00:00,202405,Canada,User not found for username: brower
26273,Taveaur,Fall 2024,08/19/24 00:00:00,12/16/24 00:00:00,202408,Canada,User not found for username: Taveaur
26278,simmers,KRSFall 24,08/16/23 00:00:00,12/07/23 00:00:00,202408,Skyline,User not found for username: simmers
26364,speightl,ECON100 CRN96196 Fall 2024,08/14/24 00:00:00,12/16/24 00:00:00,202408,Skyline,User not found for username: speightl
26446,dronkersm,MARCELLE DRONKERS FALL 24,08/14/24 00:00:00,12/04/24 00:00:00,202408,CSM,User not found for username: dronkersm
26448,LAPUZ,LapuzF24,08/11/24 00:00:00,12/25/24 00:00:00,202408,Canada,User not found for username: LAPUZ
26466,DEALF,SURG 451,08/14/24 00:00:00,12/09/24 00:00:00,202408,Skyline,User not found for username: DEALF
26507,Zoughbiea,Phil.Fall24,08/14/24 00:00:00,12/16/24 00:00:00,202408,Skyline,User not found for username: Zoughbiea
26511,brower,Kbrower Door Card,08/14/24 00:00:00,12/16/24 00:00:00,202408,Canada,User not found for username: brower
26615,anttilasuarezc,Anttila-Fall 2024,08/15/24 00:00:00,12/16/24 00:00:00,202408,Skyline,User not found for username: anttilasuarezc
26729,simmers,Door Card Name,,,202403,Canada,User not found for username: simmers
26730,simmers,simmers S25,01/13/25 00:00:00,05/14/25 00:00:00,202503,Skyline,User not found for username: simmers
26772,Taveaur,Spring 2025 Taveau,01/13/25 00:00:00,05/20/25 00:00:00,202503,Canada,User not found for username: Taveaur
26801,LAPUZ,LapuzSp25,01/10/25 00:00:00,06/01/25 00:00:00,202503,Canada,User not found for username: LAPUZ
26871,Maxwellt,Spring 25,01/13/25 00:00:00,05/12/25 00:00:00,202503,CSM,User not found for username: Maxwellt
26983,Loristk,FASH 173 Lingerie,03/05/25 00:00:00,04/30/25 00:00:00,202503,Canada,User not found for username: Loristk
27075,anttilasuarezc,Door Card Name,01/15/25 00:00:00,05/24/25 00:00:00,202503,Skyline,User not found for username: anttilasuarezc
27215,Zoughbiea,PHILSUM25,06/09/25 00:00:00,07/20/25 00:00:00,202505,Skyline,User not found for username: Zoughbiea
10001,,,,,,,"
Invalid `prisma.doorcard.create()` invocation in
/Users/besnyib/next-doorcard/scripts/import-legacy.ts:430:65

  427 // Create doorcards individually to get IDs for mapping
  428 for (const doorcard of batch) {
  429   try {
→ 430     const createdDoorcard = await prisma.doorcard.create(
Unique constraint failed on the fields: (`userId`,`college`,`term`,`year`,`isActive`)"
10198,,,,,,,"
Invalid `prisma.doorcard.create()` invocation in
/Users/besnyib/next-doorcard/scripts/import-legacy.ts:430:65

  427 // Create doorcards individually to get IDs for mapping
  428 for (const doorcard of batch) {
  429   try {
→ 430     const createdDoorcard = await prisma.doorcard.create(
Unique constraint failed on the fields: (`userId`,`college`,`term`,`year`,`isActive`)"
10224,,,,,,,"
Invalid `prisma.doorcard.create()` invocation in
/Users/besnyib/next-doorcard/scripts/import-legacy.ts:430:65

  427 // Create doorcards individually to get IDs for mapping
  428 for (const doorcard of batch) {
  429   try {
→ 430     const createdDoorcard = await prisma.doorcard.create(
Unique constraint failed on the fields: (`userId`,`college`,`term`,`year`,`isActive`)"
10350,,,,,,,"
Invalid `prisma.doorcard.create()` invocation in
/Users/besnyib/next-doorcard/scripts/import-legacy.ts:430:65

  427 // Create doorcards individually to get IDs for mapping
  428 for (const doorcard of batch) {
  429   try {
→ 430     const createdDoorcard = await prisma.doorcard.create(
Unique constraint failed on the fields: (`userId`,`college`,`term`,`year`,`isActive`)"
10354,,,,,,,"
Invalid `prisma.doorcard.create()` invocation in
/Users/besnyib/next-doorcard/scripts/import-legacy.ts:430:65

  427 // Create doorcards individually to get IDs for mapping
  428 for (const doorcard of batch) {
  429   try {
→ 430     const createdDoorcard = await prisma.doorcard.create(
Unique constraint failed on the fields: (`userId`,`college`,`term`,`year`,`isActive`)"
10396,,,,,,,"
Invalid `prisma.doorcard.create()` invocation in
/Users/besnyib/next-doorcard/scripts/import-legacy.ts:430:65

  427 // Create doorcards individually to get IDs for mapping
  428 for (const doorcard of batch) {
  429   try {
→ 430     const createdDoorcard = await prisma.doorcard.create(
Unique constraint failed on the fields: (`userId`,`college`,`term`,`year`,`isActive`)"
